iter	Passed	Remaining
1506	521	122
1507	521	122
1508	522	122
1509	522	121
1510	522	121
1511	522	121
1512	522	120
1513	523	120
1514	523	119
1515	523	119
1516	523	119
1517	524	118
1518	524	118
1519	524	118
1520	524	117
1521	524	117
1522	525	116
1523	525	116
1524	525	116
1525	525	115
1526	525	115
1527	526	115
1528	526	114
1529	526	114
1530	526	113
1531	527	113
1532	527	113
1533	527	112
1534	527	112
1535	527	112
1536	528	111
1537	528	111
1538	528	110
1539	528	110
1540	528	110
1541	529	109
1542	529	109
1543	529	109
1544	529	108
1545	529	108
1546	530	107
1547	530	107
1548	530	107
1549	530	106
1550	531	106
1551	531	106
1552	531	105
1553	531	105
1554	531	105
1555	532	104
1556	532	104
1557	532	103
1558	532	103
1559	532	103
1560	533	102
1561	533	102
1562	533	102
1563	533	101
1564	534	101
1565	534	101
1566	534	100
1567	534	100
1568	534	99
1569	535	99
1570	535	99
1571	535	98
1572	535	98
1573	536	98
1574	536	97
1575	536	97
1576	536	97
1577	536	96
1578	537	96
1579	537	95
1580	537	95
1581	537	95
1582	538	94
1583	538	94
1584	538	94
1585	538	93
1586	538	93
1587	539	93
1588	539	92
1589	539	92
1590	539	91
1591	540	91
1592	540	91
1593	540	90
1594	540	90
1595	540	90
1596	541	89
1597	541	89
1598	541	89
1599	541	88
1600	541	88
1601	542	87
1602	542	87
1603	542	87
1604	542	86
1605	543	86
1606	543	86
1607	543	85
1608	543	85
1609	543	85
1610	544	84
1611	544	84
1612	544	84
1613	544	83
1614	544	83
1615	545	82
1616	545	82
1617	545	82
1618	545	81
1619	546	81
1620	546	81
1621	546	80
1622	546	80
1623	546	80
1624	547	79
1625	547	79
1626	547	79
1627	547	78
1628	548	78
1629	548	78
1630	548	77
1631	548	77
1632	549	77
1633	549	76
1634	549	76
1635	549	75
1636	550	75
1637	550	75
1638	550	74
1639	550	74
1640	551	74
1641	551	73
1642	551	73
1643	551	73
1644	551	72
1645	552	72
1646	552	72
1647	552	71
1648	552	71
1649	552	71
1650	553	70
1651	553	70
1652	553	69
1653	553	69
1654	553	69
1655	554	68
1656	554	68
1657	554	68
1658	554	67
1659	555	67
1660	555	67
1661	555	66
1662	555	66
1663	555	66
1664	556	65
1665	556	65
1666	556	65
1667	556	64
1668	556	64
1669	557	64
1670	557	63
1671	557	63
1672	557	63
1673	557	62
1674	558	62
1675	558	61
1676	558	61
1677	558	61
1678	559	60
1679	559	60
1680	559	60
1681	559	59
1682	560	59
1683	560	59
1684	560	58
1685	560	58
1686	561	58
1687	561	57
1688	561	57
1689	561	57
1690	561	56
1691	562	56
1692	562	56
1693	562	55
1694	562	55
1695	562	55
1696	563	54
1697	563	54
1698	563	54
1699	563	53
1700	563	53
1701	564	53
1702	564	52
1703	564	52
1704	564	52
1705	565	51
1706	565	51
1707	565	50
1708	565	50
1709	565	50
1710	566	49
1711	566	49
1712	566	49
1713	566	48
1714	566	48
1715	567	48
1716	567	47
1717	567	47
1718	567	47
1719	568	46
1720	568	46
1721	568	46
1722	568	45
1723	568	45
1724	569	45
1725	569	44
1726	569	44
1727	569	44
1728	569	43
1729	570	43
1730	570	43
1731	570	42
1732	570	42
1733	570	42
1734	571	41
1735	571	41
1736	571	41
1737	571	40
1738	572	40
1739	572	40
1740	572	39
1741	572	39
1742	572	39
1743	573	38
1744	573	38
1745	573	38
1746	573	37
1747	573	37
1748	574	37
1749	574	36
1750	574	36
1751	574	36
1752	575	35
1753	575	35
1754	575	35
1755	575	34
1756	575	34
1757	576	34
1758	576	33
1759	576	33
1760	576	33
1761	576	32
1762	577	32
1763	577	32
1764	577	31
1765	577	31
1766	578	31
1767	578	30
1768	578	30
1769	578	30
1770	579	29
1771	579	29
1772	579	29
1773	579	28
1774	579	28
1775	580	28
1776	580	27
1777	580	27
1778	580	27
1779	581	26
1780	581	26
1781	581	26
1782	581	25
1783	582	25
1784	582	25
1785	582	24
1786	582	24
1787	582	24
1788	583	23
1789	583	23
1790	583	23
1791	583	22
1792	584	22
1793	584	22
1794	584	21
1795	584	21
1796	585	21
1797	585	20
1798	585	20
1799	585	20
1800	585	19
1801	586	19
1802	586	19
1803	586	18
1804	586	18
1805	587	18
1806	587	17
1807	587	17
1808	587	17
1809	588	16
1810	588	16
1811	588	16
1812	588	15
1813	588	15
1814	589	15
1815	589	14
1816	589	14
1817	589	14
1818	589	13
1819	590	13
1820	590	13
1821	590	12
1822	590	12
1823	591	12
1824	591	11
1825	591	11
1826	591	11
1827	591	11
1828	592	10
1829	592	10
1830	592	10
1831	592	9
1832	592	9
1833	593	9
1834	593	8
1835	593	8
1836	593	8
1837	593	7
1838	594	7
1839	594	7
1840	594	6
1841	594	6
1842	595	6
1843	595	5
1844	595	5
1845	595	5
1846	595	4
1847	596	4
1848	596	4
1849	596	3
1850	596	3
1851	596	3
1852	597	2
1853	597	2
1854	597	2
1855	597	1
1856	597	1
1857	598	1
1858	598	0
1859	598	0
1860	598	0
1861	599	0
