Battery_Temperature_Start,Battery_Temperature_End,Battery_State_of_Charge_Start,Battery_State_of_Charge_End,SOC_Consumed,Ambient_Temperature_Start,Target_Cabin_Temperature,Distance,Duration,Velocity_mean,Velocity_std,Velocity_max,Battery_Current_mean,Battery_Current_std,Battery_Current_max,Battery_Voltage_mean,Battery_Voltage_std,Battery_Voltage_max,Battery_Temperature_std,Ambient_Temperature_std,Longitudinal_Acceleration_mean,Longitudinal_Acceleration_std,Longitudinal_Acceleration_max,Heating_Power_CAN_mean,Heating_Power_CAN_std,Heating_Power_CAN_max,AirCon_Power_mean,AirCon_Power_std,AirCon_Power_max,Accel_abs_mean,Accel_abs_std,Accel_abs_max,Battery_Power_mean,Battery_Power_std,Battery_Power_max,Velocity_diff_mean,Velocity_diff_std,Velocity_diff_max,Battery_Current_diff_mean,Battery_Current_diff_std,Battery_Current_diff_max,Longitudinal_Acceleration_diff_mean,Longitudinal_Acceleration_diff_std,Longitudinal_Acceleration_diff_max,Battery_Temperature_diff_mean,Battery_Temperature_diff_std,Battery_Temperature_diff_max,Route_Area_FTMRoute_2x,Route_Area_FTMRoute_reverse,Route_Area_Highway,Route_Area_Munich_East,Route_Area_Munich_North,Route_Area_Munich_North_Fast_Charging,Route_Area_Munich_Northeast,Route_Area_Munich_South,Weather_cloudy,Weather_dark,Weather_rainy
26.0,27.0,0.87,0.756,0.11399999999999999,30.0,30.0,17.7317568055556,23.740000000000002,44.79713754385965,31.050737947782434,105.989,-17.692569824561403,41.0844656641952,119.33099999999999,386.5477333333333,3.682074698419076,394.15700000000004,0.75715749693221,1.1333482922558373,-0.07156631578947369,0.7096385939173091,3.0140000000000002,0.04648421052631579,0.49689792056860616,5.52,0.9778701754385966,0.5726856986146871,2.344,0.4674652631578948,0.538549011970043,3.2060000000000004,11.132688552044913,12.827903504422562,120.01424824899999,0.0020716292134831463,2.3148075842885016,9.587999999999994,0.003748595505617899,24.103812135696316,237.622,-0.0006537921348314622,0.4430181830972964,2.5380000000000003,0.0007022471910112359,0.06712824152415871,0.9030000000000022,0,0,0,1,0,0,0,0,0,0,0
28.0,30.0,0.755,0.643,0.11199999999999999,26.5,25.0,18.6539030555556,27.305,40.97267663209274,27.435557924755628,119.426,-15.200393837705919,43.74201673608363,135.184,382.2896381940207,3.9017827784348733,390.53499999999997,0.7110256868439011,1.4844569362547126,0.01798596705308115,0.7971755890814621,4.14,0.05995729103111652,0.5367399962473972,5.52,0.7671891397193411,0.388916140009805,1.748,0.5097663209273947,0.613018975768755,4.14,10.460605443348383,13.744308693096809,137.69685151500002,-0.0006007326007325983,2.660929308971241,14.905999999999999,0.002608974358974381,29.487072249187975,250.30799999999996,9.157509157510614e-06,0.5397841119515804,3.024,0.001221001221001221,0.046125734495482074,0.7759999999999998,0,0,0,1,0,0,0,0,0,0,0
22.0,22.0,0.855,0.829,0.026000000000000023,21.0,23.0,4.57298555555556,11.931666666666667,22.992664804469275,14.58161740928295,49.236000000000004,-8.982449720670392,16.11563154646831,44.452999999999996,389.6636215083799,1.6020816591414364,393.85900000000004,0.0,0.5333896985415209,-0.014164804469273748,0.5787784079669636,2.353,1.508212290502793,0.3046232838761697,5.116,0.21895251396648047,0.10432295462075447,0.76,0.42097206703910617,0.39713981163802886,2.353,5.389245258860336,4.713028604139055,28.308186525999997,7.763797375001095e-20,2.077658452936581,6.545,-0.017948251748251792,9.757507949249714,47.382,-0.0003538461538461537,0.3973265375212935,1.6880000000000002,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0
22.0,22.0,0.828,0.799,0.028999999999999915,24.5,22.0,4.92976305555556,11.575,25.53546330935252,15.850677524352095,60.448,-9.299076258992805,20.17581524083982,50.36,387.8542330935251,1.715928729231571,392.202,0.0,0.6182350333970054,0.04970743405275779,0.6137793494034586,2.09,0.24028345323741004,0.9894103221276431,5.52,0.3986028776978417,0.26353596015948655,1.44,0.44315491606714624,0.42723555802849655,2.09,6.005015609733813,6.099505756155083,38.878677436,-1.5997449922552687e-19,2.1400352649115235,7.652999999999999,0.0071080691642651265,13.059090373959078,71.22999999999999,0.00033093179634966375,0.3938752145264313,2.193,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0
17.0,19.0,0.748,0.634,0.11399999999999999,19.0,23.0,26.97350125,37.23,43.449038031319915,33.254437766492494,110.965,-11.390384116331097,21.930017158483736,125.16,381.13575794183447,2.927715707071926,392.225,0.5382191204116358,0.6772696183410211,-0.014228523489932884,0.5054585979980158,2.888,0.056057270693512296,0.5329114012897435,5.52,0.0821096196868009,0.12462986227547664,0.812,0.30325313199105147,0.40458288248177093,2.888,6.295111960787919,6.920444978650286,49.04006604,0.007206803939122649,1.7403978230223447,9.829999999999998,0.003487242614145024,12.8066918009282,105.239,-0.00018207251566696467,0.35893499137873414,2.8529999999999998,0.0008952551477170994,0.026375152592861266,0.7940000000000005,0,0,0,1,0,0,0,0,0,0,1
19.0,19.0,0.63,0.515,0.11499999999999999,19.5,23.0,28.8016013888889,31.775,54.37114053487153,26.1718598406483,115.952,-18.847387170075162,23.551877529276325,91.705,372.18024278972206,4.585538870256665,384.85299999999995,0.2539872386344009,1.1215045460654516,0.023452193672434892,0.45173795719495663,2.524,0.05423911903513371,0.477023598599744,5.52,0.09316413214472995,0.13683099314680044,1.02,0.2727212025869603,0.36083458689486897,2.524,8.511129628769272,7.173586232977374,46.42825575,-3.3857142343303894e-19,1.557970131014667,8.129999999999999,0.00019237495627842,12.881385962623026,128.899,-5.3340328786289604e-05,0.2856702851581094,2.6620000000000004,0.0,0.02449663322520219,0.657,0,0,0,1,0,0,0,0,0,0,1
16.0,18.0,0.868,0.779,0.08899999999999997,15.5,25.0,12.9708176388889,11.143333333333334,69.79817702327567,37.60253514855163,130.499,-29.518344010249837,48.06558653357408,77.896,383.8922840059791,5.592552354817485,393.366,0.6284976486384494,0.3211578203174425,-0.025624599615631006,0.630308307995797,2.774,0.24973991031390133,0.9136622978582055,5.52,0.12068460388639761,0.28057504160062374,2.124,0.41872517616912236,0.47154312827465844,2.774,14.102048851025197,15.584428041496595,111.86081245499999,0.00016680923866552608,2.236233447791371,10.094000000000008,-0.0019418306244652899,26.662074605613267,188.901,5.2609067579128454e-05,0.3382858811336794,1.5830000000000002,0.0029940119760479044,0.04142520899285601,0.7199999999999989,0,0,0,1,0,0,0,0,1,0,0
18.0,19.0,0.779,0.702,0.07700000000000007,16.0,22.0,12.1878966666667,14.678333333333335,49.8029829738933,41.79985943735533,131.422,-19.46011577752554,39.824833852734955,129.286,381.43203518728717,4.814082705259528,393.15,0.4936333408969396,0.4152049097404163,0.07376872871736663,0.5267221051648499,2.146,0.686161180476731,0.8916095628848402,5.52,0.1907979568671964,0.2757088798078723,2.568,0.36476759364358685,0.38688187940321844,2.146,10.031833921119183,13.102798563257673,88.027162211,3.9425533544927435e-20,1.8120096474515066,7.543,0.0006102272727272547,23.362933234628738,138.24,-1.3352272727272866e-05,0.3423610800129516,1.902,0.0011363636363636363,0.023919509422574932,0.5449999999999982,0,0,0,1,0,0,0,0,1,0,0
22.0,22.0,0.885,0.804,0.08099999999999996,23.5,30.0,16.7303819444444,26.458333333333332,37.92781801007557,26.11551727198539,108.46700000000001,-11.381555415617129,27.571269199826514,70.136,388.24667695214106,2.5861264756876183,393.973,0.0,0.7654362092297265,-0.02174223341729639,0.6883782900371648,2.409,0.13687153652392944,0.6523569800036267,5.52,0.3823167506297229,0.3694027636756889,2.2,0.4434223341729639,0.5268685130818507,5.953,7.863587827846348,8.368976322982355,49.89751988000001,-2.307499217257114e-18,2.4472331768636164,9.219000000000001,-0.0005135475740391051,16.844544751694546,88.303,-0.00014030665826507126,0.4515687539635779,3.7960000000000003,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,0,0
17.0,17.0,0.77,0.691,0.07900000000000007,14.0,26.0,11.5179944444444,28.658333333333335,24.107430232558137,15.468436769113508,56.061,-10.207023643410851,16.92065941014824,56.64,384.5786284883721,1.978977066307851,391.457,0.0,0.37593727136014493,0.04193391472868217,0.5847175677628191,2.085,1.1071703488372093,1.008001755324043,5.72,0.011655813953488373,0.04769108859393193,0.51,0.40190135658914733,0.4266561208256758,2.085,5.554916589774805,5.127933819641268,30.896095578,1.2917079984004148e-19,2.0597804914299576,6.688000000000001,0.009100833818111333,11.100868311160124,71.58500000000001,7.46558076401012e-05,0.3988337999696415,2.1159999999999997,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,0,0
